model,acc_mean,acc_ci_low,acc_ci_high,f1_macro_mean,f1_macro_ci_low,f1_macro_ci_high
logreg,0.8431498015873015,0.7976190476190477,0.8849206349206349,0.8384488430383407,0.7905120150611537,0.8827305383840901
lightgbm,0.8408680555555555,0.7976190476190477,0.8810515873015872,0.8341022175659454,0.7873621316598238,0.8772317069375084
svm,0.8328769841269842,0.7817460317460317,0.876984126984127,0.8275279468288755,0.7766096120469151,0.8702348569638617
rf,0.8226240079365078,0.7738095238095238,0.8691468253968253,0.8177991258551139,0.7632326244101154,0.8679289310503207
xgboost,0.8118998015873015,0.7657738095238096,0.8571428571428571,0.8047088428925285,0.7535864672251966,0.8497500381432527
extratrees,0.8090128968253968,0.7619047619047619,0.8571428571428571,0.8040066081458588,0.7557950373622153,0.8544919166608912
catboost,0.7977827380952381,0.746031746031746,0.8452380952380952,0.7878709408594955,0.7353993378819841,0.8364636283808751
gradientboosting,0.7828571428571429,0.7341269841269841,0.8333333333333334,0.7738059322809318,0.7190633646035042,0.8271586059547085
knn,0.7273561507936509,0.6784722222222223,0.781845238095238,0.7325486735770639,0.6787453319282941,0.7832852204281565
adaboost,0.6936259920634922,0.6349206349206349,0.75,0.6967636048127249,0.6401640026723268,0.7522683450421698
naivebayes,0.5068055555555556,0.44841269841269843,0.5674603174603174,0.4636514854327153,0.4074919621833764,0.5168332623139242
