model,delta_accuracy,delta_f1_macro,delta_precision_macro,delta_recall_macro
logreg,0.011904761904761862,0.012454225181511847,0.01238759285276414,0.010653243969776294
lightgbm,0.007936507936507908,0.006387407139883061,0.003961855754165855,0.006496340090090036
svm,0.0,0.0,0.0,0.0
rf,-0.011904761904761973,-0.010989387424257702,-0.0032038093752089214,-0.014202584641092697
xgboost,-0.019841269841269882,-0.021219279500243493,-0.020611602808447316,-0.020959341397849496
extratrees,-0.023809523809523836,-0.023080004285367717,-0.011291051434225152,-0.026164950232490547
catboost,-0.0357142857142857,-0.03978489763536919,-0.04143711549568907,-0.03879935883464114
gradientboosting,-0.051587301587301626,-0.05447640912044316,-0.051882904067234614,-0.053871285600116336
knn,-0.1071428571428572,-0.09581975853974223,0.004654932405634193,-0.10875608471374598
adaboost,-0.13888888888888895,-0.12939390080221225,-0.09323232176914753,-0.13542892691078168
naivebayes,-0.32539682539682546,-0.3614370518207477,-0.32530992498404365,-0.3345611740773031
