dim_1,dim_2,dim_3,class_name,split
0.2159581,0.42964697,0.37578398,alicate_corte,train
-2.8857794,0.44507924,0.27644563,alicate_corte,test
0.54740816,0.43941978,-2.174989,alicate_corte,train
-0.25233456,-0.20469573,-0.53856504,alicate_corte,train
2.980981,0.53982735,0.921783,alicate_corte,val
-2.1856916,-0.8934919,-1.4596334,alicate_corte,train
0.74057955,-0.22621816,0.19940819,alicate_corte,train
-0.15076815,-0.66026384,0.60620695,alicate_corte,train
1.0946316,0.1480944,0.48636577,alicate_corte,val
-0.44448367,-0.843838,0.159533,alicate_corte,train
0.31109846,-0.30809784,1.3429767,alicate_corte,train
-0.53242975,-0.10981828,-0.44836944,alicate_corte,train
-0.83034945,1.3625757,-0.23811784,alicate_corte,val
1.3425034,2.1931076,4.9248223,alicate_corte,val
-3.4858747,2.6448905,-1.9152893,alicate_corte,test
0.21919367,0.7204069,0.078162424,alicate_corte,train
-0.15818803,-0.72025764,0.40384212,alicate_corte,train
-0.69713736,-1.3386463,0.4052554,alicate_corte,train
-0.97481793,1.5187216,-1.837443,alicate_corte,train
-0.8283658,0.788409,-1.0548712,alicate_corte,val
-2.9770472,-0.50455064,0.3548365,alicate_corte,test
0.32244834,-0.39707682,0.31099233,alicate_corte,test
-2.7139776,2.3307767,-2.9001493,alicate_corte,train
0.16655727,0.9492485,0.3443805,alicate_corte,train
-2.3187299,-1.451342,-2.3233151,alicate_corte,val
0.8731878,-1.243979,1.6746104,alicate_corte,train
-0.79753983,-0.18803616,-0.012771655,alicate_corte,train
-1.0090772,1.2118795,0.15483122,alicate_corte,train
-0.52270216,0.15013647,0.15264438,alicate_corte,train
0.19595139,-0.0062134867,0.14474247,alicate_corte,train
-3.161469,1.6016105,-1.2059612,alicate_corte,train
-0.11433531,0.09417688,1.2856156,alicate_corte,train
-1.0866258,0.17988868,0.7646375,alicate_corte,train
0.46276963,0.8508689,0.36405927,alicate_corte,train
-2.713834,-0.012384065,-1.4636412,alicate_corte,train
0.1984062,1.5902401,-2.3325894,alicate_corte,val
0.027322216,0.282879,-0.5281245,alicate_corte,train
-2.0680041,1.9877086,-1.7985188,alicate_corte,test
-1.6852086,2.1918232,-1.1602807,alicate_corte,train
-0.2783588,-0.40893725,1.0104289,alicate_corte,train
-0.20074733,-0.89111274,-0.07384343,alicate_corte,train
0.20929994,-0.4807789,-0.41502157,alicate_corte,train
-2.152577,0.34868798,-1.9560596,alicate_corte,train
-0.81836325,0.106000796,-1.0933067,alicate_corte,train
0.3847587,-1.0299386,-0.20599216,alicate_corte,train
0.33781406,0.26993012,0.61561066,alicate_corte,val
0.451052,1.0094644,1.259887,alicate_corte,train
0.22342543,-0.7340411,0.29615846,alicate_corte,train
-0.039527,0.817391,-1.4022104,alicate_corte,test
0.63883287,-0.17690548,-0.1137381,alicate_corte,train
3.3588383,-1.7787521,-2.3535297,alicate_corte,val
2.2096372,-1.5214511,-1.2102457,alicate_corte,train
1.6405563,-3.367542,-1.7225705,alicate_corte,test
-1.5936741,-1.7823838,0.18697345,alicate_corte,train
-0.32954404,0.28967696,0.18768735,alicate_corte,train
-0.61115235,0.22057517,-0.26308218,alicate_corte,train
-3.1024797,2.4521775,-2.1606736,alicate_corte,val
-0.26620534,-0.76162004,0.2972763,alicate_corte,test
-3.0052445,2.8542893,-2.3373733,alicate_corte,test
-0.50446,1.7491298,-0.524343,alicate_corte,train
0.103333205,-0.83833945,-0.15328978,alicate_corte,val
-0.0630492,1.172142,1.0769712,alicate_corte,train
-2.2565107,-0.20116988,-1.0686576,alicate_corte,train
1.3937243,-0.4623099,1.3618349,alicate_corte,train
0.60202855,1.8256173,-0.32149476,alicate_corte,train
-0.37630194,0.43487775,-1.5493037,alicate_corte,train
0.2945824,0.6396446,0.055417664,alicate_corte,train
-0.5853291,0.97931325,-1.559721,alicate_corte,train
0.30653492,0.1845619,-0.07264416,alicate_corte,train
-1.0729042,1.6047305,-2.3262951,alicate_corte,train
1.9011548,-0.5836992,-0.05131148,alicate_corte,train
2.0931993,1.042507,1.2420826,alicate_corte,test
1.7905337,0.869623,1.1336439,alicate_corte,train
-0.722639,-0.19027133,0.9085963,alicate_corte,train
-0.31318343,1.8219236,-1.1686728,alicate_corte,test
-0.32736018,1.5139222,-0.22302444,alicate_corte,train
-1.6048876,-0.9411694,-2.131976,alicate_corte,train
-0.268242,0.1649053,0.834783,alicate_corte,train
0.17732319,0.19850989,0.46413139,alicate_corte,train
0.45911768,1.3271574,-0.03650239,alicate_corte,train
-0.12492639,1.1950814,0.82299507,alicate_corte,train
0.034994848,-0.30476776,-0.71902734,alicate_corte,train
0.6273717,0.18230914,0.72318226,alicate_corte,train
-0.830689,-0.8884174,-0.4814798,alicate_corte,train
0.28964186,-0.0019264157,0.9160169,alicate_corte,train
0.47220758,0.016061915,0.94550115,alicate_corte,train
-1.6398534,2.951185,-0.8737103,alicate_corte,val
0.26775074,-0.27787316,0.5783589,alicate_corte,test
-2.4852633,4.043672,-1.4765837,alicate_corte,test
-2.6667995,4.00278,-2.0596747,alicate_corte,val
-1.2806004,0.65967757,-2.2747805,alicate_corte,train
0.6696537,-0.31294426,0.29125434,alicate_corte,train
-0.765638,-0.13967295,0.7348269,alicate_corte,test
-0.14385621,-1.2459761,0.7537161,alicate_corte,train
0.6718049,-0.45656618,-0.39883542,alicate_corte,train
-0.9729514,0.8218798,-0.031085093,alicate_corte,train
-0.20189892,0.06897715,-0.0764883,alicate_corte,train
2.0957274,0.8353463,0.14631271,alicate_corte,train
-0.71728677,-0.17423323,-1.9631917,alicate_corte,train
-0.68538976,-0.91476303,-4.221743,alicate_corte,test
0.99513376,0.22053221,0.51929206,alicate_corte,train
-1.0305127,1.3059207,-2.0130568,alicate_corte,train
-0.9372709,1.1840976,-2.4903812,alicate_corte,test
0.31649485,0.12888531,0.62406534,alicate_corte,test
-0.72268355,-0.071379654,0.353906,alicate_corte,train
1.3546809,1.5122235,-0.20658587,alicate_corte,train
1.342559,1.4953983,-0.19671547,alicate_corte,test
0.9059662,0.299644,-0.7580951,alicate_corte,train
-1.693182,-0.18556881,-0.5320586,alicate_corte,val
2.46449,0.54750663,0.3735874,alicate_corte,train
0.37053123,0.5279846,-0.42170328,alicate_corte,train
-0.5855976,-0.39155114,-0.50382394,alicate_corte,train
0.47013715,0.059090808,0.85006446,alicate_corte,train
0.06034258,-0.036227714,0.2697818,alicate_corte,train
-2.8053465,2.8341064,-2.4433796,alicate_corte,train
0.60884434,1.4806403,0.32353058,alicate_corte,train
1.6526153,-1.8259908,0.9751891,alicate_corte,test
1.6554992,-0.078540735,-0.076934695,alicate_corte,val
1.7119007,-1.6138496,0.8499239,alicate_corte,train
1.1307148,4.354176,11.468576,alicate_corte,train
0.86992884,5.069625,9.608655,alicate_corte,val
1.1554205,4.5965233,11.060777,alicate_corte,test
-1.4524398,-0.072585724,1.0047117,alicate_corte,train
0.47811353,0.0052770576,0.6535782,alicate_corte,train
-0.80104756,0.7455857,0.58818424,alicate_corte,train
-0.52159745,0.29974893,-1.4080447,alicate_corte,train
-0.13752702,-0.07598978,0.29943308,alicate_corte,train
-2.8976707,-0.6202155,-0.5224716,alicate_corte,train
0.3528668,-0.92371595,0.42496476,alicate_corte,val
2.978295,2.9854443,5.6787934,alicate_corte,test
3.316258,5.25231,2.270393,alicate_corte,test
-0.8830413,0.949455,1.2975963,alicate_corte,train
0.3603536,0.24281973,0.5664157,alicate_corte,train
0.038976286,-0.41881886,-0.058204234,alicate_corte,train
1.795645,1.0165766,-0.35308477,alicate_corte,train
0.34309065,1.6247071,-0.90475315,alicate_corte,train
0.05474774,0.3413783,-0.32060075,alicate_corte,train
0.2510955,0.023810323,0.75767416,alicate_corte,train
1.7963516,0.92379767,-0.35752425,alicate_corte,train
0.08710531,-0.1028361,-0.862689,alicate_corte,val
0.060313847,0.47572225,0.43640783,alicate_corte,train
0.32155323,-0.48964003,0.3458035,alicate_corte,val
0.5750525,0.5137487,0.9971676,alicate_corte,train
-1.4299294,0.332479,-0.95498693,alicate_corte,train
0.53526694,1.2532387,-1.1778996,alicate_corte,train
-1.2452624,-0.27741763,1.410649,alicate_corte,train
1.1000344,-2.4007227,-2.1222084,alicate_corte,val
-1.6447299,0.4447111,0.593558,alicate_corte,val
-2.611432,1.1372483,-0.7545735,alicate_corte,train
-11.020544,-0.22468723,2.5294967,alicate_corte,test
-0.5245253,-0.3857433,-0.17456228,alicate_corte,train
0.05257769,0.6466478,-0.16743335,alicate_corte,test
1.0129113,0.32349762,0.46972114,alicate_corte,train
0.2773424,-1.745042,0.88486755,alicate_corte,val
0.15277615,0.49010012,-0.0970521,alicate_corte,train
0.9838905,-0.78545254,2.3788223,alicate_corte,val
1.5197619,1.799279,1.5542427,alicate_corte,train
1.8088704,0.6264082,2.310383,alicate_corte,test
0.11435668,0.22531833,-0.93901056,alicate_corte,train
0.17880909,0.30781153,0.96877456,alicate_corte,train
-0.40486196,-1.309773,-1.0432417,alicate_corte,test
-3.0312927,2.6820583,-4.9198585,alicate_corte,val
-0.042638898,0.40835273,0.55887413,alicate_corte,train
-1.6015809,-2.0461907,0.8902559,alicate_corte,train
0.122989625,-0.8087005,1.6874424,alicate_corte,train
0.6015909,-2.2843637,0.3129783,alicate_corte,val
-1.0932049,0.4788484,-0.019121772,alicate_corte,train
0.25597703,-0.84231895,0.34149656,alicate_corte,train
-0.03494869,0.048628546,-0.036441587,alicate_corte,train
-3.7303524,0.5143528,-5.856874,alicate_corte,test
0.123728506,0.28266108,1.2300924,alicate_corte,train
-1.6931397,0.69437367,-3.5774336,alicate_corte,val
-0.953705,-0.53587735,0.20357268,alicate_corte,train
-0.3212013,-0.1693621,0.73098505,alicate_corte,train
1.0109546,0.10282396,0.21987185,alicate_corte,train
1.4429431,-0.44977304,0.52756894,alicate_corte,train
-1.0279616,-0.41400722,0.014674945,alicate_corte,train
-0.50299275,0.2736178,0.78151333,alicate_corte,train
-1.2495775,0.42026335,1.4039826,alicate_corte,train
-0.38363403,-0.38095948,-2.7995563,alicate_corte,test
0.5645605,0.30011824,-0.34303904,alicate_corte,train
-0.11465644,0.27995583,2.4691114,alicate_corte,train
-1.6740143,0.049503293,-0.36048028,alicate_corte,train
1.5142766,0.43379623,-2.200411,alicate_corte,train
0.12584639,0.17975342,0.99557966,alicate_corte,train
-0.093706034,0.056202367,-1.143909,alicate_corte,val
-2.491413,-0.87843275,0.90220875,alicate_corte,train
-0.40265805,0.29709494,1.0432483,alicate_corte,train
-2.591249,-5.3970456,1.5406133,alicate_corte,test
1.7720932,-2.0919447,-1.0492791,alicate_corte,val
-0.5453297,-1.327524,0.74427736,alicate_corte,train
0.98240966,0.1259629,-1.2765969,alicate_corte,val
1.5514108,-1.8272232,0.17877813,alicate_corte,train
-0.51278627,-0.30879304,-0.31323472,alicate_corte,train
0.28790691,-1.1219306,-0.14619645,alicate_corte,train
-0.9051482,-0.8205774,-1.8638211,alicate_corte,train
-1.3496401,-0.7927481,-0.47520736,alicate_corte,test
-1.169771,0.5478862,-0.5108614,alicate_corte,train
-0.7263624,0.032278184,0.2993373,alicate_corte,train
0.9956432,-0.16792464,0.7277181,alicate_corte,train
-3.1383438,-0.6899507,-4.3370094,alicate_corte,test
-0.41332752,-0.54173446,0.22937158,alicate_corte,train
0.09602886,-0.81471163,1.0611165,alicate_corte,train
-1.2536716,0.28175756,-0.9829826,alicate_corte,train
0.6297865,-0.72901404,1.1555965,alicate_corte,train
0.022054885,-0.06860661,0.2420429,alicate_corte,val
-1.5765115,0.17971696,0.0059088403,alicate_corte,val
-0.21797986,-0.98549867,0.68668544,calibrador,train
0.7139544,0.46464166,-0.83105844,calibrador,train
-0.62167275,-0.431993,0.9551678,calibrador,test
-0.086504884,0.46017995,0.2622815,calibrador,train
-0.18809934,-0.078268126,0.65457046,calibrador,train
-0.039884575,-0.070380114,0.2360966,calibrador,train
0.48311266,0.36660144,-0.2351047,calibrador,train
0.30646652,-0.05049717,-0.81347495,calibrador,val
0.24182357,-0.65005547,0.98008996,calibrador,val
0.14143117,0.1007767,0.3139321,calibrador,train
0.17333384,-0.04214368,0.2747144,calibrador,train
-1.1406862,-0.49970785,-0.36361167,calibrador,train
2.6360645,0.5886536,-0.03822098,calibrador,train
0.26359886,0.3475356,0.79206675,calibrador,train
-0.6588223,1.2532725,0.496252,calibrador,train
0.1317545,0.31355044,0.00521963,calibrador,train
-0.6350658,-0.10528913,-0.6730373,calibrador,train
-0.08026557,0.5450366,-0.42066133,calibrador,train
-0.038824555,0.22603853,-0.6567554,calibrador,train
-1.1480974,-2.1919727,-1.7614338,calibrador,train
-0.400536,-0.17848907,2.672553,calibrador,val
-0.4759101,-0.0058242693,-0.61894745,calibrador,train
-0.5877855,-0.49375814,0.79743063,calibrador,train
0.74419653,0.10889115,-0.06282885,calibrador,test
0.35308027,0.1459633,0.24269563,calibrador,train
0.12184537,0.19022922,0.2052795,calibrador,train
-0.7166053,-0.33909485,0.02399343,calibrador,train
-0.6691709,-0.24903835,0.07892099,calibrador,train
-1.2071172,-0.291346,0.2478381,calibrador,val
-1.0907102,-0.41864476,0.3495941,calibrador,train
2.342111,2.433444,-1.284838,calibrador,train
-1.285436,-1.3140796,-0.50912327,calibrador,val
2.5809412,0.6947763,0.2981144,calibrador,val
1.1402928,-0.07313062,0.31454834,calibrador,train
0.7823655,-0.009687721,1.131546,calibrador,train
-0.060607843,0.8446441,-0.92295825,calibrador,train
0.19393843,-0.19558354,0.61193097,calibrador,train
0.3302048,-0.42338124,-0.9079137,calibrador,test
0.2989121,-1.1870828,-0.2722217,calibrador,val
0.5157776,-0.8520205,-0.4759697,calibrador,train
0.15077716,-0.2387683,-0.10717346,calibrador,train
0.0031928546,-0.3392821,-0.2672775,calibrador,train
-0.016325574,-0.04778748,0.6497396,calibrador,train
-0.13141438,-0.35919595,0.69900376,calibrador,train
0.448247,0.17740269,0.99960595,calibrador,train
0.2060717,0.45383373,0.121806026,calibrador,train
1.058269,-0.23225303,1.5644555,calibrador,train
-0.25600755,0.97325194,-0.56675035,calibrador,train
0.5662177,0.9110997,0.8666227,calibrador,val
1.2812117,-0.9725147,-1.4143968,calibrador,train
-0.1841623,-0.13515887,2.8661342,calibrador,train
0.48998618,1.3158373,-0.17950895,calibrador,train
-0.6592855,-0.6223158,0.12680691,calibrador,train
1.1526386,0.045251984,-0.86445576,calibrador,train
-0.34703928,0.66228014,-0.3939954,calibrador,train
-0.32472017,0.6960044,1.229325,calibrador,train
-0.34149873,-0.28755793,-0.21562901,calibrador,train
0.3321073,-0.5879019,0.52728915,calibrador,train
0.6903315,0.8525327,-0.11170257,calibrador,val
0.034449592,-0.13960311,0.05330295,calibrador,train
0.7566182,0.062913254,0.4351261,calibrador,train
-1.308613,-1.8460584,-0.7743279,calibrador,train
1.2909834,0.15772998,-0.14134465,calibrador,train
-0.9244043,-0.80583656,0.43202037,calibrador,train
0.36560524,-0.16467309,-1.1305628,calibrador,train
-1.1476725,-0.12345883,-0.94128406,calibrador,val
-0.5297745,-0.42549723,0.81876606,calibrador,train
