dim_1,dim_2,class_name,split
-22.337612,-10.05425,alicate_corte,train
-22.80969,-9.418627,alicate_corte,test
-20.096958,-8.857173,alicate_corte,train
-21.446505,-10.188392,alicate_corte,train
-20.751835,-10.135798,alicate_corte,val
-21.449286,-7.864455,alicate_corte,train
-21.746304,-10.708866,alicate_corte,train
-21.68715,-9.286621,alicate_corte,train
-22.544008,-11.559716,alicate_corte,val
-21.169577,-10.672401,alicate_corte,train
-20.766521,-10.877311,alicate_corte,train
-21.196712,-10.803891,alicate_corte,train
-20.215075,-9.961966,alicate_corte,val
-21.2874,-7.62918,alicate_corte,val
-23.025831,-8.886779,alicate_corte,test
-22.638454,-9.979374,alicate_corte,train
-22.697054,-9.654246,alicate_corte,train
-22.804506,-9.671396,alicate_corte,train
-21.13774,-10.126615,alicate_corte,train
-20.977102,-9.887239,alicate_corte,val
-22.811794,-9.361672,alicate_corte,test
-22.285995,-10.270748,alicate_corte,test
-22.922577,-9.157727,alicate_corte,train
-22.830723,-9.737168,alicate_corte,train
-21.185925,-8.237958,alicate_corte,val
-21.213448,-11.306758,alicate_corte,train
-23.06148,-8.941944,alicate_corte,train
-20.316633,-9.909355,alicate_corte,train
-21.64595,-10.269066,alicate_corte,train
-19.926323,-10.151035,alicate_corte,train
-19.926374,-10.4299,alicate_corte,train
-21.769707,-8.3688755,alicate_corte,train
-21.627583,-7.4354334,alicate_corte,train
-22.807537,-10.07359,alicate_corte,train
-21.403215,-8.363156,alicate_corte,train
-22.109377,-8.749802,alicate_corte,val
-21.257454,-10.821154,alicate_corte,train
-21.402115,-10.365267,alicate_corte,test
-21.30643,-10.421329,alicate_corte,train
-20.502974,-11.762548,alicate_corte,train
-20.634762,-12.046709,alicate_corte,train
-20.208967,-11.178144,alicate_corte,train
-19.675571,-9.801755,alicate_corte,train
-20.0599,-9.874514,alicate_corte,train
-21.462967,-9.245492,alicate_corte,train
-22.388372,-10.623182,alicate_corte,val
-21.175812,-10.198075,alicate_corte,train
-21.835575,-9.632661,alicate_corte,train
-22.96,-9.953169,alicate_corte,test
-23.279743,-10.46323,alicate_corte,train
-22.487682,-11.589041,alicate_corte,val
-22.504475,-11.606597,alicate_corte,train
-22.522093,-11.594452,alicate_corte,test
-20.89889,-8.087747,alicate_corte,train
-21.395578,-11.791286,alicate_corte,train
-21.270538,-10.724968,alicate_corte,train
-19.868689,-10.343632,alicate_corte,val
-19.807102,-10.375009,alicate_corte,test
-19.913837,-10.330576,alicate_corte,test
-21.821934,-10.288837,alicate_corte,train
-21.05057,-11.125402,alicate_corte,val
-22.910099,-9.702768,alicate_corte,train
-19.535576,-8.75049,alicate_corte,train
-20.615772,-10.227016,alicate_corte,train
-20.29175,-10.120072,alicate_corte,train
-21.699623,-9.686263,alicate_corte,train
-21.98309,-9.631927,alicate_corte,train
-19.405062,-8.758382,alicate_corte,train
-21.734222,-10.613917,alicate_corte,train
-19.339617,-8.621446,alicate_corte,train
-23.475872,-10.530056,alicate_corte,train
-20.71505,-9.940263,alicate_corte,test
-20.67345,-9.86811,alicate_corte,train
-20.359716,-9.775636,alicate_corte,train
-21.360561,-11.4621,alicate_corte,test
-21.622234,-11.7063465,alicate_corte,train
-22.957998,-8.856871,alicate_corte,train
-22.135899,-10.345721,alicate_corte,train
-21.577946,-9.903565,alicate_corte,train
-22.221725,-10.889931,alicate_corte,train
-20.307135,-9.509768,alicate_corte,train
-20.533083,-8.807009,alicate_corte,train
-22.285908,-10.920394,alicate_corte,train
-19.21557,-9.73765,alicate_corte,train
-21.190313,-11.156142,alicate_corte,train
-21.365067,-11.25003,alicate_corte,train
-20.016527,-10.387912,alicate_corte,val
-21.49281,-11.254121,alicate_corte,test
-22.98903,-9.017282,alicate_corte,test
-23.045532,-9.04172,alicate_corte,val
-20.401838,-9.615888,alicate_corte,train
-21.494434,-8.062409,alicate_corte,train
-20.191114,-8.721623,alicate_corte,test
-22.1587,-10.341248,alicate_corte,train
-22.178167,-10.461514,alicate_corte,train
-22.62736,-9.268957,alicate_corte,train
-20.844446,-9.984011,alicate_corte,train
-21.713802,-8.716729,alicate_corte,train
-21.013783,-9.2876005,alicate_corte,train
-21.227844,-9.266658,alicate_corte,test
-19.48643,-8.194734,alicate_corte,train
-22.05255,-8.814884,alicate_corte,train
-22.247034,-8.580328,alicate_corte,test
-22.513346,-11.566085,alicate_corte,test
-22.15325,-8.637611,alicate_corte,train
-22.136154,-8.635486,alicate_corte,train
-22.13399,-8.562273,alicate_corte,test
-22.3092,-11.006498,alicate_corte,train
-22.241184,-8.550867,alicate_corte,val
-23.076096,-10.936631,alicate_corte,train
-20.606394,-10.136322,alicate_corte,train
-20.781788,-10.192784,alicate_corte,train
-21.703138,-10.727448,alicate_corte,train
-22.13498,-10.266573,alicate_corte,train
-19.935108,-10.31157,alicate_corte,train
-21.127125,-11.438223,alicate_corte,train
-21.15353,-11.402735,alicate_corte,test
-21.118914,-11.513816,alicate_corte,val
-21.178509,-11.45131,alicate_corte,train
-21.91589,-8.489568,alicate_corte,train
-22.010397,-8.527533,alicate_corte,val
-21.963203,-8.394369,alicate_corte,test
-22.355902,-9.355112,alicate_corte,train
-22.47767,-10.983411,alicate_corte,train
-21.048801,-9.516369,alicate_corte,train
-19.439096,-8.5956135,alicate_corte,train
-20.444729,-10.315986,alicate_corte,train
-19.786703,-9.006341,alicate_corte,train
-19.4245,-5.774924,alicate_corte,val
-21.896017,-8.571741,alicate_corte,test
-21.557425,-8.940631,alicate_corte,test
-21.529305,-7.6392407,alicate_corte,train
-22.568993,-9.422582,alicate_corte,train
-21.179865,-9.8906555,alicate_corte,train
-23.298723,-10.330903,alicate_corte,train
-20.557903,-7.4204807,alicate_corte,train
-21.76858,-9.293954,alicate_corte,train
-22.026518,-11.182915,alicate_corte,train
-23.49856,-10.436178,alicate_corte,train
-19.509289,-8.916125,alicate_corte,val
-21.057047,-8.264915,alicate_corte,train
-20.617897,-8.823879,alicate_corte,val
-22.169031,-11.370644,alicate_corte,train
-20.65256,-9.234729,alicate_corte,train
-23.129519,-10.039906,alicate_corte,train
-19.800798,-9.100151,alicate_corte,train
-22.146355,-8.233583,alicate_corte,val
-19.08119,-8.818918,alicate_corte,val
-22.763367,-9.154155,alicate_corte,train
-19.875687,-9.196234,alicate_corte,test
-23.208464,-9.980727,alicate_corte,train
-21.901648,-11.290841,alicate_corte,test
-20.681833,-8.228918,alicate_corte,train
-19.412918,-7.759157,alicate_corte,val
-21.974627,-11.237583,alicate_corte,train
-20.505253,-11.950291,alicate_corte,val
-21.372,-9.084762,alicate_corte,train
-20.023558,-9.835073,alicate_corte,test
-20.057432,-9.792944,alicate_corte,train
-20.763554,-9.047361,alicate_corte,train
-19.606579,-9.102022,alicate_corte,test
-18.751738,-7.463182,alicate_corte,val
-22.520227,-11.474888,alicate_corte,train
-19.669685,-7.270958,alicate_corte,train
-22.718681,-11.227046,alicate_corte,train
-22.648603,-11.530046,alicate_corte,val
-22.190928,-10.691582,alicate_corte,train
-20.684187,-8.860157,alicate_corte,train
-21.472624,-9.57112,alicate_corte,train
-20.13821,-10.057903,alicate_corte,test
-22.088932,-10.470581,alicate_corte,train
-20.227484,-10.052938,alicate_corte,val
-21.71505,-8.237539,alicate_corte,train
-21.826754,-10.412673,alicate_corte,train
-20.773592,-10.073949,alicate_corte,train
-20.975294,-9.129216,alicate_corte,train
-20.006535,-8.348991,alicate_corte,train
-20.336454,-10.288613,alicate_corte,train
-21.590956,-7.443943,alicate_corte,train
-19.731415,-8.320061,alicate_corte,test
-22.052761,-10.282151,alicate_corte,train
-21.643633,-7.935503,alicate_corte,train
-19.729424,-10.080595,alicate_corte,train
-19.356316,-8.514931,alicate_corte,train
-21.56699,-8.958312,alicate_corte,train
-20.16937,-10.101167,alicate_corte,val
-19.73549,-9.080355,alicate_corte,train
-21.105629,-10.95072,alicate_corte,train
-17.697264,-6.2963743,alicate_corte,test
-22.621483,-11.625766,alicate_corte,val
-22.526436,-11.5863495,alicate_corte,train
-19.492493,-8.175026,alicate_corte,val
-22.437681,-11.807061,alicate_corte,train
-19.755407,-9.070887,alicate_corte,train
-23.24481,-9.695,alicate_corte,train
-20.356926,-10.354923,alicate_corte,train
-20.151918,-9.880555,alicate_corte,test
-20.26226,-8.715177,alicate_corte,train
-21.45989,-7.591586,alicate_corte,train
-22.295023,-11.253545,alicate_corte,train
-20.079638,-9.926258,alicate_corte,test
-20.380272,-8.061491,alicate_corte,train
-20.869987,-8.90046,alicate_corte,train
-21.199596,-8.5716095,alicate_corte,train
-21.633244,-9.499046,alicate_corte,train
-21.501938,-9.575536,alicate_corte,val
-21.893747,-9.612311,alicate_corte,val
-22.063753,-11.1233425,calibrador,train
-22.348145,-9.31116,calibrador,train
-20.384102,-9.699176,calibrador,test
-22.183218,-10.4060545,calibrador,train
-22.40224,-11.054898,calibrador,train
-20.439056,-9.671883,calibrador,train
-22.609367,-10.406194,calibrador,train
-20.589634,-9.498064,calibrador,val
-20.694767,-11.297968,calibrador,val
-21.119036,-11.179743,calibrador,train
-20.47979,-11.276945,calibrador,train
-21.107555,-10.0901165,calibrador,train
-22.54059,-10.96009,calibrador,train
-21.92623,-9.560873,calibrador,train
-21.560324,-10.784186,calibrador,train
-21.862894,-10.258959,calibrador,train
-20.03151,-11.455994,calibrador,train
-22.122961,-11.180465,calibrador,train
-21.683786,-10.718138,calibrador,train
-21.464209,-9.305663,calibrador,train
-22.136309,-10.926499,calibrador,val
-22.103355,-10.673773,calibrador,train
-21.325464,-10.620838,calibrador,train
-20.156868,-9.414848,calibrador,test
-22.289246,-10.529612,calibrador,train
-22.317669,-10.699723,calibrador,train
-20.327961,-11.4776535,calibrador,train
-20.45074,-11.35704,calibrador,train
-21.566477,-10.251789,calibrador,val
-22.127546,-10.432183,calibrador,train
-20.44651,-8.647101,calibrador,train
-21.030907,-10.044803,calibrador,val
-22.518215,-10.931511,calibrador,val
-22.485756,-8.696278,calibrador,train
-21.956749,-11.068534,calibrador,train
-20.976871,-9.014519,calibrador,train
-20.207008,-11.115302,calibrador,train
-21.091948,-10.257923,calibrador,test
-21.58833,-10.111272,calibrador,val
-21.58263,-10.083183,calibrador,train
-22.360023,-10.215721,calibrador,train
-21.856297,-10.195891,calibrador,train
-22.524057,-10.257121,calibrador,train
-22.997904,-9.500979,calibrador,train
-20.221066,-9.320178,calibrador,train
-20.506157,-9.797256,calibrador,train
-20.187826,-9.498434,calibrador,train
-20.514635,-11.283184,calibrador,train
-22.206417,-10.733537,calibrador,val
-22.669481,-8.63697,calibrador,train
-22.112574,-11.151955,calibrador,train
-21.530579,-11.792153,calibrador,train
-21.361181,-10.737135,calibrador,train
-20.060467,-9.400782,calibrador,train
-21.647934,-7.3175507,calibrador,train
-21.835052,-9.466579,calibrador,train
-22.071077,-10.718518,calibrador,train
-20.974567,-11.268933,calibrador,train
-21.78565,-11.237515,calibrador,val
-21.602505,-10.8195095,calibrador,train
-22.285652,-11.002422,calibrador,train
-21.168217,-10.054294,calibrador,train
-20.556108,-8.723775,calibrador,train
-20.76263,-9.93868,calibrador,train
-21.25028,-11.263268,calibrador,train
-20.077068,-11.4907875,calibrador,val
-21.269781,-10.607473,calibrador,train
-22.046276,-9.914038,calibrador,test
-22.556074,-10.489751,calibrador,test
-22.594576,-10.636158,calibrador,test
-22.603052,-10.611864,calibrador,train
-21.19243,-10.8273,calibrador,train
-22.14151,-8.878693,calibrador,val
-21.558231,-10.471587,calibrador,train
-21.600828,-10.320915,calibrador,val
-21.003658,-9.862561,calibrador,train
-21.940678,-10.809268,calibrador,train
-21.888065,-10.860046,calibrador,train
-21.884062,-10.8147335,calibrador,train
-20.467743,-8.579467,calibrador,train
-18.89502,-9.771013,calibrador,train
-20.88186,-11.23722,calibrador,val
-21.383831,-10.813834,calibrador,train
-21.806345,-7.8173704,calibrador,train
-22.220364,-9.959219,calibrador,train
-18.998653,-9.666567,calibrador,train
-22.614513,-8.840127,calibrador,train
-23.399366,-9.179905,calibrador,train
-21.990519,-9.050707,calibrador,train
-22.006855,-10.711761,calibrador,test
-21.018078,-10.026737,calibrador,train
-21.113367,-11.100163,calibrador,train
-22.032507,-10.535924,calibrador,test
-21.55321,-11.897539,calibrador,val
-22.694958,-8.242998,calibrador,train
-21.588943,-9.263851,calibrador,test
-20.607798,-8.872771,calibrador,test
-20.646269,-8.859895,calibrador,test
-20.759253,-12.17385,calibrador,train
-21.914131,-11.7556,calibrador,train
-20.828846,-10.979433,calibrador,train
-22.123243,-10.748834,calibrador,val
-21.823835,-11.13539,calibrador,train
-20.258263,-10.942577,calibrador,train
-20.729849,-8.996483,calibrador,train
-20.157248,-11.511308,calibrador,train
-20.73669,-11.578807,calibrador,train
-20.476511,-9.553653,calibrador,train
-22.51448,-11.517885,calibrador,train
-20.430635,-11.42434,calibrador,train
-20.734394,-11.316649,calibrador,val
-22.131924,-9.5143175,calibrador,train
-22.42519,-10.471254,calibrador,val
-21.512173,-10.697362,calibrador,train
-21.297749,-10.625515,calibrador,train
-21.356611,-7.1970787,calibrador,test
-22.196854,-10.295523,calibrador,train
-22.165792,-10.448061,calibrador,train
-22.483892,-10.551927,calibrador,train
-22.333326,-10.315293,calibrador,train
-21.493256,-10.370519,calibrador,train
-20.590166,-11.410388,calibrador,train
-20.520702,-11.509137,calibrador,test
-20.498728,-11.523327,calibrador,test
-20.175575,-9.270896,calibrador,train
-20.835691,-10.82352,calibrador,train
-20.869904,-11.208034,calibrador,train
-21.61041,-11.32191,calibrador,train
-22.849968,-8.771269,calibrador,train
-22.828167,-8.778754,calibrador,val
-20.485203,-8.992669,calibrador,train
-19.30615,-10.309823,calibrador,train
-20.436182,-11.059226,calibrador,val
-20.441078,-9.497316,calibrador,val
