dim_1,dim_2,dim_3,class_name,split
4.670717,-10.797579,3.990972,alicate_corte,train
5.2600784,-11.042644,4.6192026,alicate_corte,test
6.984963,-11.262161,2.3888419,alicate_corte,train
5.254061,-10.559594,3.170877,alicate_corte,train
5.3305464,-10.76101,2.6569912,alicate_corte,val
6.458021,-10.4440155,4.455826,alicate_corte,train
4.2897162,-10.280544,3.2945192,alicate_corte,train
5.5268836,-10.726774,3.799997,alicate_corte,train
6.1984224,-12.050994,3.3885534,alicate_corte,val
4.157851,-11.234962,3.1944408,alicate_corte,train
6.667768,-11.237155,1.9227751,alicate_corte,train
4.5763273,-10.537512,3.2655966,alicate_corte,train
5.434302,-10.624531,2.9191463,alicate_corte,val
6.94193,-10.166675,3.7258427,alicate_corte,val
5.182456,-10.187994,4.528301,alicate_corte,test
4.6358275,-10.84075,4.2392774,alicate_corte,train
4.91822,-10.826341,4.291909,alicate_corte,train
5.0635,-10.90681,4.538803,alicate_corte,train
5.6151795,-11.080377,2.9849458,alicate_corte,train
5.8117137,-11.03757,2.9557786,alicate_corte,val
5.227573,-10.965414,4.6713715,alicate_corte,test
4.5089674,-10.799562,3.6820874,alicate_corte,test
5.065475,-10.380117,4.4291024,alicate_corte,train
4.6269135,-10.738821,4.243652,alicate_corte,train
6.3791595,-10.527052,3.8078797,alicate_corte,val
5.08352,-11.140085,2.2758873,alicate_corte,train
5.141993,-10.2602825,4.597716,alicate_corte,train
4.72438,-11.159789,2.7883146,alicate_corte,train
4.523485,-11.564142,3.5840926,alicate_corte,train
4.9707522,-9.828619,2.6825793,alicate_corte,train
4.927971,-9.853813,2.490866,alicate_corte,train
6.6351447,-10.599926,3.9322703,alicate_corte,train
6.8532634,-9.890445,3.9523456,alicate_corte,train
4.419585,-10.643416,4.2394586,alicate_corte,train
5.980435,-10.86895,4.5129695,alicate_corte,train
5.9302826,-10.620977,4.4672794,alicate_corte,val
4.7428193,-11.049161,2.7888303,alicate_corte,train
5.1413994,-10.700433,3.3293478,alicate_corte,test
5.1705055,-10.715453,3.1028137,alicate_corte,train
4.9190693,-11.521255,1.8042566,alicate_corte,train
4.7332587,-11.339587,1.6522306,alicate_corte,train
5.15471,-10.820792,1.875638,alicate_corte,train
6.421716,-10.838206,1.9078807,alicate_corte,train
5.75323,-10.394825,2.6050956,alicate_corte,train
6.1518335,-11.399644,3.6803916,alicate_corte,train
4.2766666,-10.309966,3.6366704,alicate_corte,val
5.66016,-10.19063,3.6313846,alicate_corte,train
5.6093173,-11.073805,3.7673542,alicate_corte,train
4.6134157,-10.431795,4.2606397,alicate_corte,test
4.534753,-10.2072115,4.290562,alicate_corte,train
6.336142,-12.039522,3.1465676,alicate_corte,val
6.359888,-12.077681,3.1086555,alicate_corte,train
6.322588,-12.048979,3.136006,alicate_corte,test
6.4623184,-11.184221,4.4485855,alicate_corte,train
4.8148737,-11.528133,2.0284867,alicate_corte,train
4.6186047,-10.411249,3.126631,alicate_corte,train
4.867622,-9.674198,2.7203593,alicate_corte,val
4.969785,-9.784683,2.5433464,alicate_corte,test
4.869135,-9.652666,2.6907494,alicate_corte,test
4.5138493,-11.767541,3.627,alicate_corte,train
4.9686804,-11.142261,2.224632,alicate_corte,val
4.719842,-11.136431,4.657434,alicate_corte,train
7.086458,-11.135938,2.222045,alicate_corte,train
5.365299,-10.740928,2.6100528,alicate_corte,train
5.9947906,-11.536642,2.4841921,alicate_corte,train
5.7889695,-11.304374,3.4826162,alicate_corte,train
4.83902,-10.139108,3.9067872,alicate_corte,train
7.166805,-11.155683,2.161766,alicate_corte,train
4.680182,-10.407195,3.2973564,alicate_corte,train
7.14225,-11.08196,2.1636007,alicate_corte,train
6.9228477,-11.153235,3.2832415,alicate_corte,train
5.418035,-10.895476,2.7284389,alicate_corte,test
5.495087,-10.812584,2.75238,alicate_corte,train
5.02451,-10.807551,2.62486,alicate_corte,train
4.652472,-11.272832,2.7338426,alicate_corte,test
3.9444447,-11.030215,2.7928278,alicate_corte,train
5.442787,-10.409708,4.3679013,alicate_corte,train
4.649906,-10.631696,3.8230062,alicate_corte,train
5.033906,-10.747648,3.431379,alicate_corte,train
7.9239144,-10.955188,2.6346455,alicate_corte,train
5.8605757,-10.725071,2.5820346,alicate_corte,train
6.499132,-10.665265,3.0161016,alicate_corte,train
4.766276,-11.45379,3.8738065,alicate_corte,train
6.113884,-9.767344,2.4890604,alicate_corte,train
4.4709163,-10.568125,2.7760625,alicate_corte,train
4.3745403,-10.53625,2.8432627,alicate_corte,train
4.8319016,-9.754989,2.6504874,alicate_corte,val
4.1250305,-10.775141,2.9923193,alicate_corte,test
5.024497,-10.240934,4.5122643,alicate_corte,test
5.1429443,-10.180519,4.5210743,alicate_corte,val
5.472179,-11.393397,2.345139,alicate_corte,train
6.0903854,-10.39319,4.38108,alicate_corte,train
7.0834055,-10.423437,2.3607097,alicate_corte,test
4.62927,-10.921415,3.7561913,alicate_corte,train
4.3487444,-10.788213,3.6797745,alicate_corte,train
5.5875316,-11.203286,4.5748787,alicate_corte,train
5.0383563,-10.962099,2.5979354,alicate_corte,train
6.7783046,-10.42265,3.2014112,alicate_corte,train
6.208243,-11.103267,3.3929589,alicate_corte,train
5.984302,-10.843617,3.3476777,alicate_corte,test
6.7841434,-10.017935,2.9838357,alicate_corte,train
5.9195433,-10.208754,3.8733397,alicate_corte,train
5.9004745,-10.096097,4.02892,alicate_corte,test
6.0960536,-12.03333,3.3333962,alicate_corte,test
5.810933,-10.409049,4.089564,alicate_corte,train
5.8680773,-10.081544,4.0151606,alicate_corte,train
5.8850384,-10.091286,3.963181,alicate_corte,test
4.570677,-11.258233,3.0048563,alicate_corte,train
5.852165,-10.041433,4.0891843,alicate_corte,val
6.131326,-12.152119,3.7667973,alicate_corte,train
6.011457,-11.482475,2.46751,alicate_corte,train
5.9921637,-11.728001,2.8473165,alicate_corte,train
4.496107,-10.98268,3.361335,alicate_corte,train
4.7636065,-11.156725,3.6008804,alicate_corte,train
4.8587513,-9.714969,2.6551893,alicate_corte,train
4.7949986,-11.143554,2.409507,alicate_corte,train
4.7616467,-11.125995,2.3453977,alicate_corte,test
4.853962,-11.259036,2.2386844,alicate_corte,val
4.6681333,-11.146118,2.3923755,alicate_corte,train
6.5218463,-10.674161,4.2358327,alicate_corte,train
6.4675775,-10.693481,4.2854657,alicate_corte,val
6.5559435,-10.676789,4.243803,alicate_corte,test
5.509122,-10.946336,4.28755,alicate_corte,train
3.9626856,-11.282173,3.9063532,alicate_corte,train
5.9424915,-10.510612,2.728449,alicate_corte,train
7.056293,-11.2326565,2.2355402,alicate_corte,train
5.1392612,-10.424575,2.568189,alicate_corte,train
6.3495097,-10.878919,2.402633,alicate_corte,train
9.409538,-10.626064,2.2987933,alicate_corte,val
6.503264,-10.744421,3.9002423,alicate_corte,test
6.4461594,-10.6978445,3.418665,alicate_corte,test
6.7885256,-10.008943,3.9847684,alicate_corte,train
5.419016,-10.823408,4.3632717,alicate_corte,train
6.7818923,-11.916436,2.8600416,alicate_corte,train
7.068653,-11.246814,3.4623945,alicate_corte,train
7.893381,-10.889537,2.9219625,alicate_corte,train
5.6959624,-11.364427,4.0871153,alicate_corte,train
4.000487,-10.771275,3.4566476,alicate_corte,train
7.0256786,-11.124789,3.2756197,alicate_corte,train
6.9088063,-11.337912,2.1206467,alicate_corte,val
6.348706,-10.387167,3.536626,alicate_corte,train
6.5096955,-10.515778,3.1741312,alicate_corte,val
6.781621,-11.852096,2.9995372,alicate_corte,train
6.073536,-10.705705,2.8269823,alicate_corte,train
4.5068555,-10.328324,4.3258505,alicate_corte,train
6.308525,-10.874925,2.4133077,alicate_corte,train
6.1174726,-9.865665,3.9447937,alicate_corte,val
6.9416904,-10.990066,1.5238256,alicate_corte,val
5.3371077,-11.07344,4.7141924,alicate_corte,train
6.18865,-10.810827,2.4595532,alicate_corte,test
4.860067,-10.458371,4.586669,alicate_corte,train
3.979275,-10.900222,3.2459548,alicate_corte,test
6.5325813,-10.2028265,3.301345,alicate_corte,train
6.4778237,-10.934125,2.2024121,alicate_corte,val
4.0536494,-10.924393,3.2402372,alicate_corte,train
4.7489734,-11.431608,1.4237074,alicate_corte,val
4.9467545,-10.732736,2.5407913,alicate_corte,train
5.929625,-11.460818,1.721203,alicate_corte,test
5.8628907,-11.479145,1.7346139,alicate_corte,train
5.6588054,-9.865856,3.349804,alicate_corte,train
6.326962,-11.351643,2.1195395,alicate_corte,test
10.714364,-9.920866,1.3424263,alicate_corte,val
6.298754,-12.120901,3.159991,alicate_corte,train
5.538197,-10.997415,4.041131,alicate_corte,train
3.9084396,-11.206333,3.9702876,alicate_corte,train
6.467383,-12.210906,3.1472037,alicate_corte,val
