real,pred,count
llave_chica_mixta,llave_regulable,9
calibrador,llave_regulable,8
alicate_corte,cutter,7
pelacables,cutter,6
destornillador_chico_plano,cutter,6
llave_regulable,cutter,5
pelacables,alicate_corte,3
calibrador,cutter,3
pelacables,destornillador_chico_plano,3
cutter,llave_regulable,3
cutter,pelacables,2
destornillador_chico_plano,llave_regulable,2
destornillador_chico_plano,alicate_corte,2
alicate_corte,calibrador,2
destornillador_chico_plano,wincha,2
alicate_corte,llave_regulable,1
alicate_corte,pelacables,1
destornillador_chico_plano,llave_chica_mixta,1
alicate_corte,destornillador_chico_plano,1
llave_chica_mixta,cutter,1
