real,pred,count
cutter,pelacables,4
llave_regulable,llave_chica_mixta,4
llave_regulable,cutter,4
pelacables,destornillador_chico_plano,3
pelacables,alicate_corte,3
cutter,llave_regulable,3
calibrador,llave_chica_mixta,2
llave_regulable,calibrador,2
pelacables,cutter,2
destornillador_chico_plano,wincha,2
alicate_corte,llave_chica_mixta,2
calibrador,destornillador_chico_plano,2
alicate_corte,pelacables,1
alicate_corte,calibrador,1
destornillador_chico_plano,alicate_corte,1
cutter,llave_chica_mixta,1
alicate_corte,wincha,1
cutter,alicate_corte,1
alicate_corte,cutter,1
alicate_corte,destornillador_chico_plano,1
