real,pred,count
llave_regulable,llave_chica_mixta,6
destornillador_chico_plano,llave_chica_mixta,3
pelacables,alicate_corte,3
cutter,llave_chica_mixta,3
alicate_corte,wincha,2
calibrador,llave_chica_mixta,2
cutter,alicate_corte,2
calibrador,destornillador_chico_plano,2
alicate_corte,pelacables,2
alicate_corte,llave_chica_mixta,2
pelacables,cutter,2
alicate_corte,destornillador_chico_plano,1
alicate_corte,calibrador,1
alicate_corte,cutter,1
destornillador_chico_plano,pelacables,1
destornillador_chico_plano,alicate_corte,1
cutter,llave_regulable,1
destornillador_chico_plano,wincha,1
llave_regulable,destornillador_chico_plano,1
llave_regulable,cutter,1
