real,pred,count
llave_regulable,llave_chica_mixta,5
llave_regulable,cutter,5
destornillador_chico_plano,llave_chica_mixta,4
pelacables,alicate_corte,4
alicate_corte,pelacables,4
alicate_corte,cutter,3
pelacables,destornillador_chico_plano,3
llave_regulable,pelacables,2
alicate_corte,llave_chica_mixta,2
cutter,pelacables,2
cutter,alicate_corte,2
destornillador_chico_plano,alicate_corte,2
alicate_corte,llave_regulable,1
cutter,calibrador,1
cutter,llave_regulable,1
calibrador,llave_chica_mixta,1
calibrador,llave_regulable,1
calibrador,destornillador_chico_plano,1
calibrador,cutter,1
llave_chica_mixta,calibrador,1
