real,pred,count
destornillador_chico_plano,cutter,16
alicate_corte,cutter,11
pelacables,cutter,8
wincha,cutter,6
llave_regulable,cutter,5
llave_chica_mixta,cutter,4
pelacables,llave_regulable,3
wincha,alicate_corte,3
alicate_corte,pelacables,2
calibrador,cutter,2
destornillador_chico_plano,llave_chica_mixta,2
destornillador_chico_plano,llave_regulable,2
calibrador,llave_chica_mixta,1
destornillador_chico_plano,alicate_corte,1
cutter,llave_regulable,1
llave_regulable,llave_chica_mixta,1
llave_regulable,alicate_corte,1
