feature,importance
PC3,1302.0
PC22,935.0
PC4,572.0
PC31,441.0
PC37,338.0
PC34,297.0
PC29,293.0
PC30,258.0
PC33,226.0
PC32,223.0
PC12,215.0
PC64,204.0
PC25,199.0
PC2,191.0
PC5,187.0
PC28,185.0
PC1,185.0
PC53,171.0
PC72,170.0
PC48,168.0
PC27,163.0
PC81,163.0
PC79,162.0
PC43,157.0
PC46,153.0
PC42,153.0
PC35,153.0
PC482,145.0
PC11,145.0
PC8,144.0
PC118,142.0
PC6,141.0
PC75,141.0
PC26,138.0
PC15,136.0
PC24,134.0
PC14,131.0
PC41,129.0
PC20,126.0
PC58,124.0
PC36,119.0
PC7,118.0
PC138,118.0
PC59,117.0
PC21,116.0
PC38,116.0
PC10,115.0
PC13,113.0
PC45,113.0
PC162,113.0
PC140,112.0
PC70,112.0
PC60,111.0
PC44,110.0
PC85,109.0
PC56,107.0
PC314,107.0
PC40,105.0
PC76,104.0
PC16,103.0
