real,pred,count
alicate_corte,llave_regulable,3
cutter,llave_regulable,3
calibrador,cutter,2
cutter,alicate_corte,2
pelacables,llave_regulable,2
pelacables,cutter,2
llave_regulable,alicate_corte,2
destornillador_chico_plano,wincha,2
destornillador_chico_plano,llave_chica_mixta,2
alicate_corte,llave_chica_mixta,2
pelacables,alicate_corte,2
cutter,calibrador,1
cutter,llave_chica_mixta,1
alicate_corte,pelacables,1
alicate_corte,cutter,1
alicate_corte,destornillador_chico_plano,1
calibrador,destornillador_chico_plano,1
destornillador_chico_plano,alicate_corte,1
llave_regulable,wincha,1
llave_regulable,cutter,1
