real,pred,count
cutter,llave_chica_mixta,14
llave_regulable,llave_chica_mixta,14
destornillador_chico_plano,llave_chica_mixta,13
wincha,calibrador,9
destornillador_chico_plano,llave_regulable,8
alicate_corte,llave_regulable,7
destornillador_chico_plano,calibrador,6
calibrador,llave_chica_mixta,4
alicate_corte,llave_chica_mixta,4
alicate_corte,pelacables,4
cutter,calibrador,3
cutter,alicate_corte,3
pelacables,llave_regulable,3
pelacables,cutter,2
alicate_corte,cutter,2
alicate_corte,calibrador,2
destornillador_chico_plano,wincha,2
pelacables,calibrador,2
destornillador_chico_plano,cutter,2
pelacables,llave_chica_mixta,2
