real,pred,count
llave_regulable,llave_chica_mixta,4
pelacables,alicate_corte,3
pelacables,destornillador_chico_plano,3
calibrador,llave_chica_mixta,3
alicate_corte,wincha,2
cutter,llave_regulable,2
alicate_corte,pelacables,2
cutter,llave_chica_mixta,2
llave_regulable,calibrador,2
destornillador_chico_plano,llave_chica_mixta,2
alicate_corte,llave_chica_mixta,2
alicate_corte,destornillador_chico_plano,1
alicate_corte,cutter,1
destornillador_chico_plano,alicate_corte,1
cutter,pelacables,1
cutter,alicate_corte,1
cutter,destornillador_chico_plano,1
calibrador,destornillador_chico_plano,1
destornillador_chico_plano,wincha,1
llave_regulable,alicate_corte,1
