real,pred,count
alicate_corte,llave_regulable,3
pelacables,alicate_corte,3
alicate_corte,destornillador_chico_plano,2
alicate_corte,cutter,2
alicate_corte,pelacables,2
calibrador,cutter,2
cutter,llave_chica_mixta,2
alicate_corte,llave_chica_mixta,2
calibrador,destornillador_chico_plano,1
calibrador,llave_chica_mixta,1
calibrador,llave_regulable,1
cutter,calibrador,1
cutter,llave_regulable,1
destornillador_chico_plano,alicate_corte,1
destornillador_chico_plano,cutter,1
alicate_corte,wincha,1
destornillador_chico_plano,llave_chica_mixta,1
destornillador_chico_plano,llave_regulable,1
llave_chica_mixta,destornillador_chico_plano,1
destornillador_chico_plano,wincha,1
