real,pred,count
llave_regulable,llave_chica_mixta,4
pelacables,alicate_corte,3
cutter,llave_regulable,3
pelacables,destornillador_chico_plano,3
destornillador_chico_plano,llave_chica_mixta,2
calibrador,destornillador_chico_plano,2
alicate_corte,llave_chica_mixta,2
destornillador_chico_plano,wincha,2
llave_regulable,cutter,2
pelacables,cutter,2
pelacables,llave_chica_mixta,2
calibrador,cutter,1
alicate_corte,llave_regulable,1
alicate_corte,cutter,1
alicate_corte,destornillador_chico_plano,1
destornillador_chico_plano,calibrador,1
destornillador_chico_plano,alicate_corte,1
cutter,pelacables,1
cutter,alicate_corte,1
calibrador,llave_regulable,1
