model,delta_accuracy,delta_f1_macro,delta_log_loss,delta_ece,delta_roc_auc_macro_ovr,delta_pr_auc_macro
logreg,0.011904761904761862,0.012961770130621497,-0.11809706691374744,-0.1143070081523704,0.003296341086306165,0.005602524862221014
lightgbm,0.007936507936507908,0.006894952088992712,0.040800219302093654,-0.09168388016845176,0.0049743610307206865,-0.0003728284435152718
svm_calibrated,0.0,0.0,0.0,0.0,0.0,0.0
rf,-0.011904761904761973,-0.010481842475148051,0.4497084345111336,0.24549194026717702,-0.005393920352400605,-0.01556195219178591
xgboost,-0.019841269841269882,-0.020711734551133842,-0.07388907855845239,-0.116028830875358,0.004783351547211101,0.001271113825283554
extratrees,-0.023809523809523836,-0.022572459336258066,0.43230030801422414,0.21606792003943237,0.003527762572685278,-0.00346188653310886
catboost,-0.0357142857142857,-0.03927735268625954,0.20846936051075216,0.05654184750167654,-0.01176083493742408,-0.04259210679556036
gradientboosting,-0.051587301587301626,-0.05396886417133351,0.18597785189883687,0.022680844868461503,-0.010035070294764026,-0.05138238288627617
knn,-0.1071428571428572,-0.09531221359063258,4.365758329320454,-0.003571374896425533,-0.0707575725987124,-0.11175823534604912
adaboost,-0.13888888888888895,-0.1288863558531026,1.4208722722262475,0.39202461835900193,-0.0663312504257143,-0.24372720150683302
naivebayes,-0.32539682539682546,-0.36092950687163805,6.580694890527924,0.26129289594971605,-0.1303633405861283,-0.3309400647532539
