model,accuracy,precision_macro,recall_macro,f1_macro,log_loss,brier_multiclass,ece,mce,roc_auc_macro_ovr,pr_auc_macro
logreg,0.8452380952380952,0.8498935584051293,0.8413544845248475,0.8426762747391341,0.5309852563617496,0.2179029596019179,0.06175367930894547,0.2095892663837541,0.9738439969105229,0.9178820184700237
lightgbm,0.8412698412698413,0.841467821306531,0.8371975806451613,0.8366094566975053,0.6898825425775907,0.25121852415579177,0.0843768072928641,0.5903574924997228,0.9755220168549374,0.9119066651642874
svm_calibrated,0.8333333333333334,0.8372051461917449,0.8300459986195874,0.8297145046085126,0.6490823232754971,0.2739579024175137,0.17606068746131587,0.3217117629076236,0.9705476558242168,0.9122794936078027
rf,0.8214285714285714,0.8343021561771562,0.8164986559139785,0.8192326621333645,1.0987907577866307,0.4834291507975353,0.4215526277284929,0.575502539514042,0.9651537354718162,0.8967175414160168
xgboost,0.8134920634920635,0.8168943627439178,0.8097418991572217,0.8090027700573788,0.5751932447170447,0.24740134558387925,0.060031856585957874,0.28270586820465765,0.9753310073714279,0.9135506074330862
extratrees,0.8095238095238095,0.82621491411814,0.8045362903225807,0.8071420452722545,1.0813826312897212,0.4681490663636901,0.39212860750074824,0.6282319177583574,0.974075418396902,0.9088176070746938
catboost,0.7976190476190477,0.796068850056676,0.7919018817204301,0.7904371519222531,0.8575516837862492,0.37593169856844977,0.2326025349629924,0.506450091162501,0.9587868208867927,0.8696873868122423
gradientboosting,0.7817460317460317,0.7856230614851305,0.7768299549549549,0.7757456404371791,0.835060175174334,0.3607018255503463,0.19874153232977737,0.47451108052796576,0.9605125855294527,0.8608971107215265
knn,0.7261904761904762,0.8421608979579993,0.7219451558413252,0.73440229101788,5.014840652595951,0.44903203838793904,0.17248931256489033,0.5772950431597967,0.8997900832255044,0.8005212582617536
adaboost,0.6944444444444444,0.7442736437832176,0.6952723136442895,0.70082814875541,2.0699545955017444,0.8726247857680297,0.5680853058203178,0.5680853058203178,0.9042164053985025,0.6685522921009697
naivebayes,0.5079365079365079,0.5121960405683215,0.4961400664777681,0.46878499773687454,7.229777213803421,0.9059315631070756,0.4373535834110319,0.5597071807445504,0.8401843152380885,0.5813394288545488
