bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,14,0.2392886648315741,0.35714285714285715,0.11785419231128305,0.05555555555555555
4,0.26666666666666666,0.3333333333333333,29,0.30470725480177363,0.6206896551724138,0.3159824003706402,0.11507936507936507
5,0.3333333333333333,0.4,27,0.3620113794993208,0.5185185185185185,0.15650713901919772,0.10714285714285714
6,0.4,0.4666666666666667,30,0.4292755868814759,0.5666666666666667,0.13739107978519077,0.11904761904761904
7,0.4666666666666667,0.5333333333333333,18,0.493549908837499,1.0,0.506450091162501,0.07142857142857142
8,0.5333333333333333,0.6,21,0.5679332565559156,0.9047619047619048,0.3368286482059891,0.08333333333333333
9,0.6,0.6666666666666666,25,0.6380344243700344,0.96,0.32196557562996553,0.0992063492063492
10,0.6666666666666666,0.7333333333333333,27,0.6956981023126673,0.9629629629629629,0.26726486065029564,0.10714285714285714
11,0.7333333333333333,0.8,19,0.7695473809556316,1.0,0.23045261904436842,0.07539682539682539
12,0.8,0.8666666666666667,18,0.8398963332531024,1.0,0.16010366674689758,0.07142857142857142
13,0.8666666666666667,0.9333333333333333,12,0.9064392226792651,0.9166666666666666,0.010227443987401497,0.047619047619047616
14,0.9333333333333333,1.0,12,0.948585301016699,1.0,0.05141469898330098,0.047619047619047616
