bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,29,0.17948126507678303,0.2413793103448276,0.06189804526804457,0.11507936507936507
3,0.2,0.26666666666666666,43,0.22978736349041004,0.5813953488372093,0.35160798534679927,0.17063492063492064
4,0.26666666666666666,0.3333333333333333,40,0.3007525253212401,0.85,0.5492474746787599,0.15873015873015872
5,0.3333333333333333,0.4,22,0.3717680822416426,1.0,0.6282319177583574,0.0873015873015873
6,0.4,0.4666666666666667,21,0.43116248871322926,1.0,0.5688375112867707,0.08333333333333333
7,0.4666666666666667,0.5333333333333333,28,0.4950280889572662,1.0,0.5049719110427338,0.1111111111111111
8,0.5333333333333333,0.6,16,0.5675464147476257,1.0,0.4324535852523743,0.06349206349206349
9,0.6,0.6666666666666666,18,0.6314752744151853,1.0,0.36852472558481475,0.07142857142857142
10,0.6666666666666666,0.7333333333333333,14,0.6924245592478038,0.8571428571428571,0.16471829789505332,0.05555555555555555
11,0.7333333333333333,0.8,9,0.7579006962756504,1.0,0.24209930372434962,0.03571428571428571
12,0.8,0.8666666666666667,9,0.8190230705611872,1.0,0.18097692943881283,0.03571428571428571
13,0.8666666666666667,0.9333333333333333,3,0.8800082367046523,1.0,0.11999176329534766,0.011904761904761904
14,0.9333333333333333,1.0,0,0.0,0.0,0.0,0.0
