bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,3,0.19215558613870087,0.6666666666666666,0.47451108052796576,0.011904761904761904
3,0.2,0.26666666666666666,12,0.23349037836678868,0.25,0.01650962163321132,0.047619047619047616
4,0.26666666666666666,0.3333333333333333,26,0.30117597869480356,0.4230769230769231,0.12190094438211951,0.10317460317460317
5,0.3333333333333333,0.4,34,0.3676541242855149,0.5588235294117647,0.1911694051262498,0.1349206349206349
6,0.4,0.4666666666666667,22,0.43071452960281015,0.7272727272727273,0.29655819766991715,0.0873015873015873
7,0.4666666666666667,0.5333333333333333,15,0.49218892345190834,0.6,0.10781107654809163,0.05952380952380952
8,0.5333333333333333,0.6,12,0.5674650921551604,1.0,0.4325349078448396,0.047619047619047616
9,0.6,0.6666666666666666,22,0.6400012647373038,0.9090909090909091,0.2690896443536053,0.0873015873015873
10,0.6666666666666666,0.7333333333333333,27,0.7071677795187301,1.0,0.2928322204812699,0.10714285714285714
11,0.7333333333333333,0.8,32,0.7660929655130804,0.96875,0.20265703448691963,0.12698412698412698
12,0.8,0.8666666666666667,17,0.8334383694216917,1.0,0.1665616305783083,0.06746031746031746
13,0.8666666666666667,0.9333333333333333,21,0.9052287317576053,1.0,0.09477126824239468,0.08333333333333333
14,0.9333333333333333,1.0,9,0.9636715398533693,1.0,0.036328460146630714,0.03571428571428571
