bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,0,0.0,0.0,0.0,0.0
4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.4,36,0.3512767151220016,0.6388888888888888,0.28761217376688725,0.14285714285714285
6,0.4,0.4666666666666667,4,0.4227049568402032,1.0,0.5772950431597967,0.015873015873015872
7,0.4666666666666667,0.5333333333333333,2,0.5167836488289501,0.5,0.016783648828950115,0.007936507936507936
8,0.5333333333333333,0.6,5,0.5703219607858859,0.4,0.1703219607858859,0.01984126984126984
9,0.6,0.6666666666666666,41,0.6575648445438055,0.12195121951219512,0.5356136250316104,0.1626984126984127
10,0.6666666666666666,0.7333333333333333,47,0.6816927893586925,0.7021276595744681,0.020434870215775613,0.1865079365079365
11,0.7333333333333333,0.8,16,0.7627703867478755,1.0,0.23722961325212455,0.06349206349206349
12,0.8,0.8666666666666667,6,0.8354349523253403,1.0,0.16456504767465974,0.023809523809523808
13,0.8666666666666667,0.9333333333333333,2,0.892375194000764,1.0,0.10762480599923596,0.007936507936507936
14,0.9333333333333333,1.0,93,1.0,0.978494623655914,0.021505376344086002,0.36904761904761907
