bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,1,0.2607996872150181,0.0,0.2607996872150181,0.003968253968253968
4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.4,4,0.35987361939918633,0.5,0.14012638060081367,0.015873015873015872
6,0.4,0.4666666666666667,5,0.42970862102694934,0.2,0.22970862102694933,0.01984126984126984
7,0.4666666666666667,0.5333333333333333,9,0.4955450135497909,0.4444444444444444,0.051100569105346494,0.03571428571428571
8,0.5333333333333333,0.6,5,0.5790050975487144,0.6,0.020994902451285546,0.01984126984126984
9,0.6,0.6666666666666666,2,0.6370443501799252,1.0,0.3629556498200748,0.007936507936507936
10,0.6666666666666666,0.7333333333333333,5,0.705979428258809,0.6,0.10597942825880902,0.01984126984126984
11,0.7333333333333333,0.8,6,0.7570241591663894,0.16666666666666666,0.5903574924997228,0.023809523809523808
12,0.8,0.8666666666666667,16,0.8346181346466738,0.4375,0.3971181346466738,0.06349206349206349
13,0.8666666666666667,0.9333333333333333,11,0.8914052836096588,0.6363636363636364,0.2550416472460224,0.04365079365079365
14,0.9333333333333333,1.0,188,0.9934623713769076,0.9680851063829787,0.025377264993928894,0.746031746031746
