bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,1,0.2095892663837541,0.0,0.2095892663837541,0.003968253968253968
4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.4,7,0.3704498948763954,0.42857142857142855,0.058121533695033145,0.027777777777777776
6,0.4,0.4666666666666667,15,0.4371091750273886,0.4,0.037109175027388586,0.05952380952380952
7,0.4666666666666667,0.5333333333333333,11,0.5111475941615955,0.36363636363636365,0.14751123052523185,0.04365079365079365
8,0.5333333333333333,0.6,14,0.5728731141664962,0.6428571428571429,0.06998402869064668,0.05555555555555555
9,0.6,0.6666666666666666,11,0.6403984902905245,0.5454545454545454,0.09494394483597912,0.04365079365079365
10,0.6666666666666666,0.7333333333333333,13,0.7067762833044067,0.6923076923076923,0.014468590996714381,0.051587301587301584
11,0.7333333333333333,0.8,15,0.7667333592079395,0.9333333333333333,0.16659997412539385,0.05952380952380952
12,0.8,0.8666666666666667,24,0.844314541687685,0.9166666666666666,0.07235212497898158,0.09523809523809523
13,0.8666666666666667,0.9333333333333333,37,0.907472486515043,1.0,0.09252751348495702,0.14682539682539683
14,0.9333333333333333,1.0,104,0.9625480198627413,0.9903846153846154,0.02783659552187412,0.4126984126984127
