bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,21,0.17808724461144748,0.3333333333333333,0.15524608872188583,0.08333333333333333
3,0.2,0.26666666666666666,47,0.23647767168543385,0.5531914893617021,0.31671381767626827,0.1865079365079365
4,0.26666666666666666,0.3333333333333333,31,0.2941580887825713,0.8387096774193549,0.5445515886367835,0.12301587301587301
5,0.3333333333333333,0.4,31,0.3599813314536999,0.9354838709677419,0.575502539514042,0.12301587301587301
6,0.4,0.4666666666666667,33,0.426546014984896,0.9696969696969697,0.5431509547120736,0.13095238095238096
7,0.4666666666666667,0.5333333333333333,34,0.49977367691816754,0.9705882352941176,0.4708145583759501,0.1349206349206349
8,0.5333333333333333,0.6,23,0.5619092431901074,0.9565217391304348,0.39461249594032743,0.09126984126984126
9,0.6,0.6666666666666666,15,0.6216441360319135,1.0,0.3783558639680865,0.05952380952380952
10,0.6666666666666666,0.7333333333333333,12,0.7010574622728277,1.0,0.2989425377271723,0.047619047619047616
11,0.7333333333333333,0.8,4,0.7658030137154728,1.0,0.23419698628452723,0.015873015873015872
12,0.8,0.8666666666666667,1,0.8433333333333332,1.0,0.15666666666666684,0.003968253968253968
13,0.8666666666666667,0.9333333333333333,0,0.0,0.0,0.0,0.0
14,0.9333333333333333,1.0,0,0.0,0.0,0.0,0.0
