bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,3,0.240096655625742,0.3333333333333333,0.09323667770759131,0.011904761904761904
4,0.26666666666666666,0.3333333333333333,10,0.31165950125365394,0.3,0.011659501253653948,0.03968253968253968
5,0.3333333333333333,0.4,9,0.36073518869861143,0.5555555555555556,0.19482036685694415,0.03571428571428571
6,0.4,0.4666666666666667,23,0.43489260344979863,0.5652173913043478,0.13032478785454915,0.09126984126984126
7,0.4666666666666667,0.5333333333333333,16,0.49718228145861953,0.4375,0.059682281458619535,0.06349206349206349
8,0.5333333333333333,0.6,18,0.5674475283205058,0.6666666666666666,0.0992191383461608,0.07142857142857142
9,0.6,0.6666666666666666,25,0.6382882370923764,0.96,0.3217117629076236,0.0992063492063492
10,0.6666666666666666,0.7333333333333333,24,0.6990883500512733,0.9166666666666666,0.21757831661539329,0.09523809523809523
11,0.7333333333333333,0.8,55,0.7675118812765666,1.0,0.23248811872343345,0.21825396825396826
12,0.8,0.8666666666666667,62,0.8302746935153242,0.9838709677419355,0.15359627422661126,0.24603174603174602
13,0.8666666666666667,0.9333333333333333,7,0.8707450606632016,1.0,0.12925493933679844,0.027777777777777776
14,0.9333333333333333,1.0,0,0.0,0.0,0.0,0.0
