bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,2,0.25339334588251594,0.0,0.25339334588251594,0.007936507936507936
4,0.26666666666666666,0.3333333333333333,3,0.3077384209764335,0.3333333333333333,0.025594912356899813,0.011904761904761904
5,0.3333333333333333,0.4,12,0.36603920153799097,0.08333333333333333,0.28270586820465765,0.047619047619047616
6,0.4,0.4666666666666667,11,0.42300572868907566,0.36363636363636365,0.05936936505271201,0.04365079365079365
7,0.4666666666666667,0.5333333333333333,18,0.5070405430066548,0.4444444444444444,0.06259609856221038,0.07142857142857142
8,0.5333333333333333,0.6,12,0.5649817081798334,0.75,0.1850182918201666,0.047619047619047616
9,0.6,0.6666666666666666,12,0.6233501774319938,0.75,0.12664982256800617,0.047619047619047616
10,0.6666666666666666,0.7333333333333333,14,0.6916210939712986,0.7857142857142857,0.09409319174298714,0.05555555555555555
11,0.7333333333333333,0.8,6,0.7644871597014465,0.8333333333333334,0.06884617363188683,0.023809523809523808
12,0.8,0.8666666666666667,18,0.8329070474436275,0.8888888888888888,0.055981841445261304,0.07142857142857142
13,0.8666666666666667,0.9333333333333333,37,0.9084136949355418,0.9459459459459459,0.03753225101040414,0.14682539682539683
14,0.9333333333333333,1.0,107,0.9765847879400068,0.9906542056074766,0.01406941766746983,0.4246031746031746
