model,accuracy,precision_macro,recall_macro,f1_macro,log_loss,brier_multiclass,ece,mce,roc_auc_macro_ovr,pr_auc_macro,precision_weighted,recall_weighted,f1_weighted,acc_ci_low,acc_ci_high,f1_macro_ci_low,f1_macro_ci_high,f1_ci_width,acc_ci_width,class_f1_std,class_roc_auc_std,class_pr_auc_std,p_mcnemar_vs_svm,mcnemar_delta_correct_vs_svm,significant_vs_svm_0p05,n_accuracy,n_f1_macro,n_precision_macro,n_recall_macro,n_roc_auc_macro_ovr,n_pr_auc_macro,ninv_log_loss,ninv_ece,ninv_brier_multiclass,ninv_f1_ci_width,ninv_class_f1_std,score_performance_first,score_calibration_first,score_balanced_reliable
logreg,0.8452380952380952,0.8498935584051293,0.8413544845248475,0.8426762747391341,0.5309852563617496,0.2179029596019179,0.0617536793089454,0.2095892663837541,0.9738439969105228,0.9178820184700236,0.8501141075099199,0.8452380952380952,0.8447454370651111,0.7976190476190477,0.8849206349206349,0.7905120150611537,0.8827305383840901,0.09221852332293645,0.08730158730158721,0.06052680771851551,0.021859859924922953,0.055648516820179905,0.548828125,3.0,False,1.0,1.0,1.0,1.0,0.987601238055858,1.0,1.0,0.9966109417708267,1.0,0.8943569754737714,0.9679048177398639,0.9987601238055858,0.9981938915225822,0.9903423150689209
lightgbm,0.8412698412698413,0.841467821306531,0.8371975806451613,0.8366094566975053,0.6898825425775907,0.2512185241557917,0.0843768072928641,0.5903574924997228,0.9755220168549374,0.9119066651642874,0.8419199113643558,0.8412698412698413,0.8387704841482191,0.7976190476190477,0.8810515873015872,0.7873621316598238,0.8772317069375084,0.08986957527768458,0.0834325396825395,0.0555519879598007,0.01654151916018373,0.04852960886974686,0.8641662404406816,2.0,False,0.9882352941176471,0.9837738443906191,0.9750494550490891,0.987958487066669,1.0,0.9822448822523073,0.9762797102484543,0.9520819103903451,0.951578227439749,1.0,1.0,0.9856818790165837,0.9651038702383615,0.9798911102862176
xgboost,0.8134920634920635,0.8168943627439178,0.8097418991572217,0.8090027700573788,0.5751932447170447,0.2474013455838792,0.0600318565859578,0.2827058682046576,0.975331007371428,0.9135506074330862,0.8158447387186992,0.8134920634920635,0.8103208646952451,0.7657738095238096,0.8571428571428571,0.7535864672251966,0.8497500381432527,0.09616357091805605,0.09136904761904752,0.06378924075876781,0.017396014906685558,0.046433003497919005,0.486850241664797,-5.0,False,0.9058823529411765,0.9099377098290746,0.9022817938592066,0.9084262310176322,0.9985886454311879,0.9871296793612769,0.9934006028794216,1.0,0.9571262214511403,0.716929994621298,0.9468571440316935,0.9247941894867955,0.9800550822326143,0.9409498500345944
svm_calibrated,0.8333333333333334,0.8372051461917449,0.8300459986195874,0.8297145046085126,0.6490823232754971,0.2739579024175137,0.1760606874613158,0.3217117629076236,0.9705476558242168,0.9122794936078028,,,,0.7817460317460317,0.876984126984127,0.7766096120469151,0.8702348569638617,0.09362524491694657,0.09523809523809523,,0.026882394083531734,0.057418452372181454,,,False,0.9647058823529413,0.9653327827422324,0.9624266938807764,0.9672421390472807,0.9632448240860224,0.9833527017527793,0.9823703933986854,0.7716208185374703,0.9185281795988942,0.8310902190387004,,0.9667009254441672,0.8932286753237282,0.8813567375893535
catboost,0.7976190476190477,0.796068850056676,0.7919018817204301,0.7904371519222531,0.8575516837862492,0.3759316985684497,0.2326025349629924,0.506450091162501,0.9587868208867928,0.8696873868122423,0.796198814759269,0.7976190476190477,0.7931307586076,0.746031746031746,0.8452380952380952,0.7353993378819841,0.8364636283808751,0.10106429049889099,0.09920634920634919,0.07837654958019176,0.02240475233357148,0.07277053603225528,0.1995908669196069,-9.0,False,0.8588235294117649,0.8602825847243146,0.8406126622036234,0.8567481535557613,0.8763449078252915,0.8567948510979034,0.95124995230495,0.6603296786251529,0.7703166145107118,0.496522037995421,0.8527467323955052,0.8589277972403369,0.7956764449157747,0.8130394027949329
extratrees,0.8095238095238095,0.82621491411814,0.8045362903225807,0.8071420452722545,1.0813826312897212,0.4681490663636901,0.3921286075007482,0.6282319177583574,0.974075418396902,0.9088176070746938,0.822758969993993,0.8095238095238095,0.8073113303566333,0.7619047619047619,0.8571428571428571,0.7557950373622153,0.8544919166608912,0.09869687929867588,0.09523809523809523,0.05792536708708249,0.022022102142223398,0.05994523497182355,0.3615946080535651,-6.0,False,0.8941176470588236,0.9049610631417196,0.9298820896325569,0.8933468815973796,0.9893111938450763,0.9730660793759074,0.9178363235603195,0.34633501373671916,0.6362853150481028,0.6029954357334179,0.9846880813060471,0.9193685791135445,0.6665483686827733,0.8061427321252576
gradientboosting,0.7817460317460317,0.7856230614851305,0.7768299549549549,0.7757456404371791,0.835060175174334,0.3607018255503463,0.1987415323297773,0.4745110805279657,0.9605125855294528,0.8608971107215265,0.7851597332303408,0.7817460317460317,0.7777394789391817,0.7341269841269841,0.8333333333333334,0.7190633646035042,0.8271586059547085,0.1080952413512043,0.0992063492063493,0.09057678867050074,0.018930315422516646,0.0697655460729805,0.0659940344557981,-13.0,False,0.8117647058823529,0.8209890456964298,0.8096802803535634,0.8130885438246876,0.8890964517191418,0.8306754939587093,0.9546074992708516,0.7269781831953784,0.7924521375696584,0.18030775865660456,0.774036564748776,0.8250026364406527,0.8196721683035627,0.7846058942383393
rf,0.8214285714285714,0.8343021561771562,0.8164986559139785,0.8192326621333645,1.0987907577866307,0.4834291507975353,0.4215526277284929,0.575502539514042,0.9651537354718162,0.8967175414160168,0.8314067414067414,0.8214285714285714,0.8198207455967533,0.7738095238095238,0.8691468253968253,0.7632326244101154,0.8679289310503207,0.10469630664020524,0.09533730158730147,0.05960349013144292,0.019555113642329123,0.052768095663317055,0.720100131817162,-3.0,False,0.9294117647058823,0.9372983162545729,0.9538302729381991,0.9279988687857202,0.9233895562045625,0.9371120395840871,0.915237627167372,0.28841980762585245,0.6140768133143073,0.3331735249995209,0.9738616257607317,0.9350347531942625,0.6393266135386426,0.7814585930137492
knn,0.7261904761904762,0.8421608979579993,0.7219451558413252,0.73440229101788,5.014840652595951,0.449032038387939,0.1724893125648903,0.5772950431597967,0.8997900832255044,0.8005212582617536,0.8450177279714891,0.7261904761904762,0.7394555127873564,0.6784722222222223,0.781845238095238,0.6787453319282941,0.7832852204281565,0.1045398884998624,0.10337301587301573,0.1552189564992745,0.08613367656804731,0.14490946864820678,0.000141970685199,-27.0,True,0.6470588235294117,0.7104131859150067,0.9771018143791428,0.6541009806049365,0.44042249332831307,0.651275161511167,0.33064716373926234,0.7786503444698453,0.6640705377530304,0.34020837001024307,0.3569958961857847,0.685867084054241,0.6136297203833422,0.596616738168368
adaboost,0.6944444444444444,0.7442736437832176,0.6952723136442895,0.70082814875541,2.0699545955017444,0.8726247857680297,0.5680853058203178,0.5680853058203178,0.9042164053985025,0.6685522921009697,0.7492713028174897,0.6944444444444444,0.7031023038538309,0.6349206349206349,0.75,0.6401640026723268,0.7522683450421698,0.11210434236984301,0.11507936507936511,0.10726860954484589,0.052392060292605264,0.18940436450802248,2.168923876071706e-05,-35.0,True,0.5529411764705882,0.6206166479169642,0.6872351467121163,0.57683641457688,0.4731282517394419,0.25914361491681664,0.7702616607714833,0.0,0.04840900097665224,0.0,0.6663488375146034,0.5584692372554289,0.3009224735127106,0.4075971084234207
