model,score_performance_first,score_calibration_first,score_balanced_reliable
logreg,0.9987601238055858,0.9981938915225822,0.9903423150689209
lightgbm,0.9856818790165837,0.9651038702383615,0.9798911102862176
svm_calibrated,0.9667009254441672,0.8932286753237282,0.8813567375893535
rf,0.9350347531942625,0.6393266135386426,0.7814585930137492
xgboost,0.9247941894867955,0.9800550822326143,0.9409498500345944
extratrees,0.9193685791135445,0.6665483686827733,0.8061427321252576
catboost,0.8589277972403369,0.7956764449157747,0.8130394027949329
gradientboosting,0.8250026364406527,0.8196721683035627,0.7846058942383393
knn,0.685867084054241,0.6136297203833422,0.596616738168368
adaboost,0.5584692372554289,0.3009224735127106,0.4075971084234207
naivebayes,0.0,0.09006159275604725,0.0434806420909388
